gene,gene_length,chromosome_region_start,chromosome_region_end,0_hour_time_point_unique_gene_reads,0_hour_total_gene_reads,0_hour_rpkm,6_hour_time_point_unique_gene_reads,6_hour_total_gene_reads,6_hour_rpkm,fold_change_in_rpkm_0_to_6_hours,12_hour_time_point_unique_gene_reads,12_hour_total_gene_reads,12_hour_rpkm,fold_change_in_rpkm_0_to_12_hours,21_hour_time_point_unique_gene_reads,21_hour_total_gene_reads,21_hour_rpkm,fold_change_in_rpkm_0_to_21_hours,divergent_promoter_distance,divergent_class,divergent_promoter_flag,label,FC_0_to_3_protein,FC_0_to_12_protein,FC_0_to_24_protein,go_id,GO:0071941,GO:0003824,GO:0016491,GO:0065003,GO:0016829,GO:0016787,GO:0140096,GO:0003677,GO:0016740,GO:0005975,GO:0006091,GO:0055086,GO:1901135,GO:0140110,GO:0005215,GO:0098772,GO:0140299,GO:0006310,GO:0006281,GO:0140097,GO:0005886,GO:0055085,GO:0140657,GO:0015979,GO:0140098,GO:0003723,GO:0016209,GO:0005840,GO:0043226,GO:0005198,GO:0098754,GO:0006629,GO:0006355,GO:0060089,GO:0006457,GO:0051604,GO:0007155,GO:0006520,GO:0003924,GO:0006790,GO:0009975,GO:0006260,GO:0016853,GO:0006766,GO:0016874,GO:0030163,GO:0016071,GO:0006399,GO:0071554,GO:0006486,GO:0006575,GO:0000910,GO:0022414,GO:0005694,GO:0007059,GO:0005811,GO:0005615,GO:0005576,GO:0005829,GO:0003774,GO:0090729,GO:0005773,GO:0098542,GO:0006351,GO:0042254,GO:0009579,GO:0008289,GO:0023052,GO:0060090,GO:0045735,GO:0140104,GO:0006886,old_locus_tag,locus_tag,protein_id,gene_symbol,product,diazo_mean_pident,diazo_hit_count,nondiazo_mean_pident,nondiazo_hit_count,diazo_minus_nondiazo_mean_pident,has_diazo_hit,has_nondiazo_hit,diazo_hit_frac,nondiazo_hit_frac
all2760,1105,3356657,3357762,59,59,3.115557372,35,35,2.005018917,-1.55387929,459,459,23.42141435,7.517567983,147,147,7.45162146,2.391745864,1243,1000to1500,1,FOX,1,1,1,GO:0004672,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all2760,PCC7120DELTA_RS15570,WP_010996913.1,PCC7120DELTA_RS15570,serine/threonine protein kinase,69.51166667,3,,0,,1,0,0.375,0
all2981,2023,3621685,3623708,496,496,14.30644775,350,350,10.951784,-1.306312081,1032,1032,28.76381748,2.010549228,592,592,16.39160772,1.145749665,10000,not registered,0,FOX,1.557833717,2.316823253,2.315912131,GO:0016740,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all2981,PCC7120DELTA_RS16665,WP_010997132.1,PCC7120DELTA_RS16665,transglycosylase domain-containing protein,72.938875,8,59.4615,2,13.477375,1,1,1,1
all3278,919,3952850,3953769,39,39,2.476253572,50,50,3.444032183,1.390823711,214,214,13.12988649,5.302319052,186,186,11.33686985,4.578234627,10000,not registered,0,FOX,1,1,1,GO:0016740,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all3278,PCC7120DELTA_RS18145,WP_010997429.1,PCC7120DELTA_RS18145,L%2CD-transpeptidase,69.49733333,3,,0,,1,0,0.375,0
all3520,565,4242264,4242829,53,60,6.196533786,42,44,4.929659658,-1.256990181,147,153,15.26882764,2.464091728,143,149,14.77180441,2.383881847,10000,not registered,0,FOX,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all3520,PCC7120DELTA_RS19320,WP_010997670.1,PCC7120DELTA_RS19320,hypothetical protein,65.81633333,3,,0,,1,0,0.375,0
all3582,694,4327698,4328392,127,127,10.67800869,113,113,10.30698588,-1.035997217,132,132,10.72450289,1.004354201,162,162,13.07528826,1.224506239,598,500to1000,1,FOX,1.565922859,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all3582,PCC7120DELTA_RS19640,WP_010997731.1,PCC7120DELTA_RS19640,hypothetical protein,76.960875,8,68.667,2,8.293875,1,1,1,1
all3850,2725,4645246,4647971,375,375,8.029911901,223,223,5.180254117,-1.550099999,1494,1494,30.91340193,3.849780958,818,818,16.81444454,2.093976216,10000,not registered,0,FOX,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all3850,PCC7120DELTA_RS20945,WP_010997991.1,PCC7120DELTA_RS20945,hypothetical protein,59.33066667,3,,0,,1,0,0.375,0
all4019,1630,4839045,4840675,302,302,10.81098732,195,195,7.572856286,-1.427597053,1479,1479,51.16150121,4.732361596,2424,2424,83.29918247,7.705048578,10000,not registered,0,FOX,1,2.185920781,2.354319372,GO:0004345,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all4019,PCC7120DELTA_RS21810,WP_010998159.1,zwf,glucose-6-phosphate dehydrogenase,83.379,8,75.294,1,8.085,1,1,1,0.5
all4160,1156,5006383,5007539,73,73,3.684775606,61,61,3.34029412,-1.103129088,542,542,26.43651248,7.174524397,259,259,12.54982466,3.405858592,10000,not registered,0,FOX,1,1.880769074,1,GO:0043856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all4160,PCC7120DELTA_RS22525,WP_044522107.1,PCC7120DELTA_RS22525,anti-sigma factor antagonist,71.792,7,64.118,1,7.674,1,1,0.875,0.5
all4388,1582,5260247,5261829,153,153,5.643271841,100,100,4.001347125,-1.410342983,3526,3526,125.6720034,22.26935136,878,878,31.08735444,5.508746577,10000,not registered,0,FOX,1,1.843707582,3.041252849,GO:0015159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all4388,PCC7120DELTA_RS23615,WP_010998525.1,PCC7120DELTA_RS23615,polysaccharide biosynthesis/export family protein,57.90557143,7,42.227,2,15.67857143,1,1,0.875,1
all4496,1828,5384446,5386274,165,165,5.266884229,164,164,5.679111099,1.078267692,415,415,12.8007264,2.430417272,352,352,10.78604431,2.0478985,10000,not registered,0,FOX,1,1,1,GO:0000155,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all4496,PCC7120DELTA_RS24130,WP_010998629.1,PCC7120DELTA_RS24130,sensor histidine kinase,81.10533333,3,37.569,1,43.53633333,1,1,0.375,0.5
all4829,859,5748038,5748897,130,130,8.830721897,132,132,9.727326101,1.101532379,497,497,32.62315313,3.694279302,267,267,17.41060351,1.971594589,10000,not registered,0,FOX,1,1,1,GO:0016740,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all4829,PCC7120DELTA_RS25755,WP_010998957.1,PCC7120DELTA_RS25755,sugar transferase,74.2425,8,66.301,2,7.9415,1,1,1,1
all4830,1240,5748907,5750147,46,46,2.164622488,36,36,1.837780012,-1.177846355,251,251,11.41339233,5.272694149,110,110,4.968974042,2.2955384,121,within500,1,FOX,1,0.526783496,1,GO:0016740,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all4830,PCC7120DELTA_RS25760,WP_044522366.1,PCC7120DELTA_RS25760,glycosyltransferase,78.26525,8,69.667,2,8.59825,1,1,1,1
all5341,1366,6373813,6375179,0,0,0,0,0,0,1,39,39,1.609817401,Inf,160,160,6.560924065,Inf,10000,not registered,0,FOX,1,0.237092128,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all5341,PCC7120DELTA_RS28250,WP_010999465.1,PCC7120DELTA_RS28250,glycosyltransferase,84.59366667,3,,0,,1,0,0.375,0
all5345,1102,6378528,6379630,1,1,0.052949812,0,0,0,#NAME?,0,0,0,#NAME?,66,66,3.354733836,63.35685984,10000,not registered,0,FOX,1,1,6.599927457,GO:0003824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all5345,PCC7120DELTA_RS28270,WP_010999469.1,PCC7120DELTA_RS28270,NAD-dependent epimerase/dehydratase family protein,81.831,3,,0,,1,0,0.375,0
all5346,1279,6379596,6380875,1,1,0.045622121,0,0,0,#NAME?,0,0,0,#NAME?,36,36,1.57662237,34.55828718,10000,not registered,0,FOX,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all5346,PCC7120DELTA_RS28275,WP_010999470.1,devC,ABC transporter permease DevC,88.43533333,3,,0,,1,0,0.375,0
all5347,1300,6380831,6382131,3,3,0.134655446,5,5,0.243466583,1.808070824,7,7,0.303610927,2.254724457,362,362,15.59771376,115.8342589,10000,not registered,0,FOX,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all5347,PCC7120DELTA_RS28280,WP_010999471.1,PCC7120DELTA_RS28280,ABC exporter membrane fusion protein,78.85133333,3,,0,,1,0,0.375,0
alr0117,1018,119168,120186,43,43,2.464714937,30,30,1.865461047,-1.321236346,131,131,7.255815439,2.943876118,54,54,2.971267207,1.205521646,10000,not registered,0,FOX,1,1,1,GO:0000155,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr0117,PCC7120DELTA_RS02545,WP_010994294.1,PCC7120DELTA_RS02545,ATP-binding protein,52.20975,8,45.342,1,6.86775,1,1,1,0.5
alr0442,505,524382,524887,24,24,2.773102249,25,25,3.133728293,1.130044265,82,82,9.155565711,3.301560812,38,38,4.214906514,1.519924668,10000,not registered,0,FOX,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr0442,PCC7120DELTA_RS04140,WP_010994618.1,PCC7120DELTA_RS04140,response regulator,83.474,8,72.3485,2,11.1255,1,1,1,1
alr0819,1552,943151,944703,73,73,2.744588015,41,41,1.672264029,-1.641240838,253,253,9.191608413,3.34899386,168,168,6.063359141,2.209205573,10000,not registered,0,FOX,1,1,1.990807143,GO:0004564,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr0819,PCC7120DELTA_RS05955,WP_010994993.1,PCC7120DELTA_RS05955,glycoside hydrolase 100 family protein,79.4102,5,,0,,1,0,0.625,0
alr1086,1237,1271460,1272697,4,4,0.188684537,5,5,0.255866255,1.356053118,21,21,0.957221192,5.073130028,11,11,0.498102491,2.63986916,10000,not registered,0,FOX,1,1,1,GO:0003824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr1086,PCC7120DELTA_RS07285,WP_010995260.1,PCC7120DELTA_RS07285,PP2C family protein-serine/threonine phosphatase,70.02328571,7,67.639,1,2.384285714,1,1,0.875,0.5
alr1442,1519,1700640,1702159,15,15,0.576208293,12,12,0.500076194,-1.152240999,75,75,2.783980566,4.831552407,89,89,3.281919776,5.695717703,10000,not registered,0,FOX,1,1,1,GO:0003677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr1442,PCC7120DELTA_RS09025,WP_010995614.1,PCC7120DELTA_RS09025,site-specific integrase,89.8305,2,,0,,1,0,0.25,0
alr1459,1645,1716746,1718391,28,28,0.993203288,25,25,0.962026011,-1.032407935,80,80,2.742122135,2.76088709,86,86,2.928385697,2.948425296,10000,not registered,0,FOX,1,1,1,GO:0003677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr1459,PCC7120DELTA_RS09100,WP_010995629.1,xisF,fdxN element excision recombinase XisF,,0,,0,,0,0,0,0
alr1603,970,1884166,1885136,37,37,2.225748089,33,33,2.153549773,-1.03352526,110,110,6.394162374,2.872814945,201,201,11.60700178,5.21487667,1133,1000to1500,1,FOX,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr1603,PCC7120DELTA_RS09830,WP_010995772.1,PCC7120DELTA_RS09830,FHA domain-containing protein,95.862,1,,0,,1,0,0.125,0
alr1728,1438,2077463,2078901,43,43,1.74483992,47,47,2.068958026,1.185758076,137,137,5.371856353,3.078710139,137,137,5.336511002,3.058453065,10000,not registered,0,FOX,1,1,2.142422056,GO:0008233,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr1728,PCC7120DELTA_RS10445,WP_010995896.1,PCC7120DELTA_RS10445,PrsW family glutamic-type intramembrane protease,66.927,5,,0,,1,0,0.625,0
alr2338,2356,2818333,2820689,194,194,4.804768451,159,159,4.272032484,-1.124703164,317,317,7.586591251,1.578971251,381,381,9.058273254,1.885267385,10000,not registered,0,FOX,1,1,0.535518824,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr2338,PCC7120DELTA_RS13525,WP_010996494.1,sepJ,septal junction formation protein SepJ,66.42133333,3,,0,,1,0,0.375,0
alr2339,1000,2821537,2822537,190,190,11.0866317,181,181,11.45753739,1.033455219,856,857,48.32184764,4.358568856,743,743,41.61831968,3.753919207,10000,not registered,0,FOX,1,1,1,GO:0003677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr2339,PCC7120DELTA_RS13530,WP_010996495.1,hetR,heterocyst differentiation master regulator HetR,92.29466667,3,77.517,1,14.77766667,1,1,0.375,0.5
alr2392,640,2875894,2876534,5,5,0.45586479,2,2,0.197816599,-2.304481998,3,3,0.264304155,-1.724773454,10,10,0.875217019,1.919904844,133,within500,1,FOX,1,1,1,GO:0005886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alr2392,PCC7120DELTA_RS13780,WP_010996548.1,fraC,filament integrity protein FraC,72.02966667,3,,0,,1,0,0.375,0
